PROVINCE_N,DISTRICT_N,DSD_N,GND_N,SALES_REGION,SALES_AREA
Central,Kandy,Akurana,Rambuke Ela,Central,Kandy 1
Central,Kandy,Poojapitiya,Uggala Janapadaya,Central,Kandy 3
Central,Kandy,Poojapitiya,Ovissa North,Central,Kandy 1
Central,Kandy,Akurana,Delgasgoda,Central,Kandy 3
Central,Kandy,Akurana,Dippitiya,Central,Kandy 2
Central,Kandy,Akurana,Kasawatta,Central,Kandy 3
Central,Kandy,Akurana,Melchena,Central,Kandy 2
Western,Kalutara,Horana,Munagama East,Western,Kalutara 1
Western,Kalutara,Horana,Kirigalahena,Western,Kalutara 3
Western,Kalutara,Horana,Meewanapalana West,Western,Kalutara 3
Western,Kalutara,Horana,Midellamulahena,Western,Kalutara 2
Central,Kandy,Pathahewaheta,Uduwela Pallegama East,Central,Kandy 1
Central,Kandy,Pathahewaheta,Medadeniya,Central,Kandy 1
Central,Kandy,Pathahewaheta,Kandewela,Central,Kandy 2
Central,Kandy,Pathahewaheta,Godamunna West,Central,Kandy 1
Central,Kandy,Pathahewaheta,Batagalla,Central,Kandy 1
Central,Kandy,Pathahewaheta,Unuvinna East,Central,Kandy 1
Central,Kandy,Pathahewaheta,Bawlana,Central,Kandy 2
Central,Kandy,Gangawata Korale,Aniwatta West,Central,Kandy 1
Central,Kandy,Gangawata Korale,Heeressagala,Central,Kandy 1
Central,Kandy,Gangawata Korale,Nagasthenna,Central,Kandy 1
Central,Kandy,Gangawata Korale,Deiyannewela,Central,Kandy 3
Central,Kandy,Gangawata Korale,Katykele,Central,Kandy 2
Central,Kandy,Akurana,Bulugohothanna,Central,Kandy 3
Central,Kandy,Thumpane,Pallekotuwa,Central,Kandy 2
Central,Kandy,Hatharaliyadda,Eramuduliyadda,Central,Kandy 2
Central,Kandy,Hatharaliyadda,Muruddeniya,Central,Kandy 1
Central,Kandy,Yatinuwara,Udawela Nadithalawa,Central,Kandy 1
Central,Kandy,Yatinuwara,Udawela Pallemaditta,Central,Kandy 3
Central,Kandy,Hatharaliyadda,Kolugala,Central,Kandy 1
Central,Kandy,Yatinuwara,Ilukwatta,Central,Kandy 1
Central,Kandy,Yatinuwara,Urapola,Central,Kandy 1
Western,Kalutara,Horana,Pokunuvita,Western,Kalutara 3
Western,Kalutara,Horana,Kulupana,Western,Kalutara 3
Western,Kalutara,Horana,Wewala East,Western,Kalutara 1
Western,Kalutara,Horana,Horana East,Western,Kalutara 3
Western,Kalutara,Horana,Horana South,Western,Kalutara 2
Western,Kalutara,Horana,Munagama West,Western,Kalutara 2
Western,Kalutara,Horana,Narthanagala,Western,Kalutara 1
Western,Kalutara,Horana,Dikhenagama,Western,Kalutara 2
Central,Kandy,Pathahewaheta,Kapuliyadda West,Central,Kandy 2
Central,Kandy,Pathahewaheta,Haputhale Egodagama,Central,Kandy 3
Central,Kandy,Pathahewaheta,Doolmure,Central,Kandy 1
Central,Kandy,Pathahewaheta,Ethulgama East,Central,Kandy 1
Central,Kandy,Pathahewaheta,Ethulgama North,Central,Kandy 1
Central,Kandy,Pathahewaheta,Kapuliyadda East,Central,Kandy 1
Central,Kandy,Pathahewaheta,Godalawela,Central,Kandy 2
Central,Kandy,Gangawata Korale,Bahirawa Kanda,Central,Kandy 1
Central,Kandy,Gangawata Korale,Nuwara Dodanwala,Central,Kandy 1
Central,Kandy,Gangawata Korale,Hanthna Pedesa,Central,Kandy 3
Central,Kandy,Gangawata Korale,Bogambara,Central,Kandy 3
Central,Kandy,Gangawata Korale,Ihala Katukele,Central,Kandy 2
Central,Kandy,Gangawata Korale,Asgiriya,Central,Kandy 3
Central,Kandy,Yatinuwara,Madarangoda,Central,Kandy 1
Central,Kandy,Udunuwara,Ihala Koorakuttala,Central,Kandy 1
Central,Kandy,Udunuwara,Pahala Koorukuttla,Central,Kandy 1
Central,Kandy,Udunuwara,Alanduwaka,Central,Kandy 2
Central,Kandy,Udunuwara,Maveekumbura North,Central,Kandy 1
Central,Kandy,Udunuwara,Appallagoda West,Central,Kandy 1
Central,Kandy,Udapalatha,Bowala,Central,Kandy 3
Central,Kandy,Udunuwara,Dihitideniya,Central,Kandy 1
Central,Kandy,Yatinuwara,Gurugama,Central,Kandy 2
Central,Kandy,Yatinuwara,Pahala Dodamwala,Central,Kandy 2
Central,Kandy,Yatinuwara,Giragama,Central,Kandy 1
Central,Kandy,Yatinuwara,Imbulmalgama,Central,Kandy 1
Central,Kandy,Yatinuwara,Aranbegama East,Central,Kandy 1
Central,Kandy,Yatinuwara,Siyambalagoda,Central,Kandy 1
Central,Kandy,Yatinuwara,Parakatawella,Central,Kandy 3
Central,Kandy,Yatinuwara,Maligathenna,Central,Kandy 2
Central,Kandy,Pathahewaheta,Galagoda,Central,Kandy 1
Central,Kandy,Pathahewaheta,Ududeniya Madihe,Central,Kandy 1
Central,Kandy,Pathahewaheta,Pathamailapitiya South,Central,Kandy 1
Central,Kandy,Pathahewaheta,Udamailapitiya North,Central,Kandy 1
Central,Kandy,Pathahewaheta,Udamailapitiya South,Central,Kandy 2
Central,Kandy,Pathahewaheta,Bolepa,Central,Kandy 1
Central,Kandy,Gangawata Korale,Poorna Watta West,Central,Kandy 1
Central,Kandy,Gangawata Korale,Poorna Watta East,Central,Kandy 3
Central,Kandy,Gangawata Korale,Mapanawathura,Central,Kandy 1
Central,Kandy,Gangawata Korale,Wattaranthenna,Central,Kandy 3
Central,Kandy,Gangawata Korale,Pitakanda Gama,Central,Kandy 1
Central,Kandy,Gangawata Korale,Mahaweli Uyana,Central,Kandy 2
Central,Kandy,Gangawata Korale,Watapuluwa,Central,Kandy 1
Central,Kandy,Udapalatha,Ranawala,Central,Kandy 2
Central,Kandy,Thumpane,Ponnila,Central,Kandy 2
Central,Kandy,Udunuwara,Gelioya,Central,Kandy 1
Central,Kandy,Gangawata Korale,Katykele West,Central,Kandy 1
Central,Kandy,Poojapitiya,Ovissa South,Central,Kandy 1
Central,Kandy,Ganga Ihala Korale,Wallahagoda,Central,Kandy 1
Central,Kandy,Yatinuwara,Mamudawala,Central,Kandy 1
Central,Kandy,Yatinuwara,Kotaligoda North,Central,Kandy 2
Central,Kandy,Yatinuwara,Doluwa West,Central,Kandy 1
Central,Kandy,Yatinuwara,Kirimetiya Watta,Central,Kandy 1
Central,Kandy,Yatinuwara,Walgowwagoda,Central,Kandy 3
Central,Kandy,Yatinuwara,Bathgoda,Central,Kandy 2
Central,Kandy,Yatinuwara,Dehigama South,Central,Kandy 3
Central,Kandy,Yatinuwara,Dehigama North,Central,Kandy 2
Central,Kandy,Yatinuwara,Mangalagama,Central,Kandy 3
Central,Kandy,Yatinuwara,Pelawa Ihalagama,Central,Kandy 1
Central,Kandy,Yatinuwara,Ihala Kobbekaduwa,Central,Kandy 3
Central,Kandy,Pathahewaheta,Nilawala,Central,Kandy 1
Central,Kandy,Pathahewaheta,Bopitiya,Central,Kandy 1
Central,Kandy,Pathahewaheta,Ethulgama South,Central,Kandy 2
Central,Kandy,Pathahewaheta,Haputhale Udagama,Central,Kandy 1
Central,Kandy,Pathahewaheta,Sriyagama,Central,Kandy 1
Central,Kandy,Pathahewaheta,Haragama,Central,Kandy 1
Central,Kandy,Pathahewaheta,Uduwela Udagama West,Central,Kandy 2
Central,Kandy,Gangawata Korale,Nittawela,Central,Kandy 1
Central,Kandy,Gangawata Korale,Watapuluwa South,Central,Kandy 2
Central,Kandy,Gangawata Korale,Aruppala West,Central,Kandy 1
Central,Kandy,Gangawata Korale,Mahaiyawa,Central,Kandy 1
Central,Kandy,Gangawata Korale,Mahanuwara,Central,Kandy 3
Central,Kandy,Gangawata Korale,Lewella,Central,Kandy 2
Central,Kandy,Kundasale,Aluth Pallekele,Central,Kandy 3
Central,Kandy,Poojapitiya,Dehiwatta,Central,Kandy 2
Central,Kandy,Poojapitiya,Ihalamulla,Central,Kandy 2
Central,Kandy,Poojapitiya,Egodamulla North,Central,Kandy 1
Central,Kandy,Poojapitiya,Pahala Kithulgolla,Central,Kandy 3
Central,Kandy,Poojapitiya,Galhinna,Central,Kandy 2
Central,Kandy,Yatinuwara,Danthure,Central,Kandy 2
Central,Kandy,Yatinuwara,Ihala Dodamwala,Central,Kandy 1
Central,Kandy,Yatinuwara,Pelawa Ihala Meda,Central,Kandy 1
Central,Kandy,Yatinuwara,Embilmeegama South,Central,Kandy 1
Central,Kandy,Yatinuwara,Panabokka,Central,Kandy 1
Central,Kandy,Yatinuwara,Kandangama South,Central,Kandy 1
Central,Kandy,Yatinuwara,Pahala Yatigammana,Central,Kandy 1
Central,Kandy,Yatinuwara,Pottepitiya,Central,Kandy 1
Central,Kandy,Yatinuwara,Bulumulla,Central,Kandy 1
Central,Kandy,Pathahewaheta,Uduwela Udagama East,Central,Kandy 1
Central,Kandy,Pathahewaheta,Ratemulla,Central,Kandy 1
Central,Kandy,Pathahewaheta,Pussathenna,Central,Kandy 2
Central,Kandy,Kundasale,Dunuhappawa,Central,Kandy 3
Central,Kandy,Kundasale,Galpihilla,Central,Kandy 3
Central,Kandy,Kundasale,Alawathugirigama,Central,Kandy 2
Central,Kandy,Kundasale,Makkanigama,Central,Kandy 1
Central,Kandy,Kundasale,Wavinna,Central,Kandy 1
Central,Kandy,Gangawata Korale,Thalwatta,Central,Kandy 1
Central,Kandy,Gangawata Korale,Boowelikada,Central,Kandy 2
Central,Kandy,Gangawata Korale,Ampitiya South,Central,Kandy 1
Central,Kandy,Gangawata Korale,Ampitiya Udagama North,Central,Kandy 1
Central,Kandy,Gangawata Korale,Thennekumbura,Central,Kandy 1
Central,Kandy,Gangawata Korale,Ampitiya Udagama South,Central,Kandy 1
Central,Kandy,Gangawata Korale,Wewathenna,Central,Kandy 1
Central,Kandy,Poojapitiya,Alawatta,Central,Kandy 1
Central,Kandy,Poojapitiya,Galkanda,Central,Kandy 2
Central,Kandy,Poojapitiya,Monekanda,Central,Kandy 2
Central,Kandy,Poojapitiya,Wewala North,Central,Kandy 3
Central,Kandy,Poojapitiya,Udahena,Central,Kandy 1
Central,Kandy,Poojapitiya,Siyapathgama,Central,Kandy 1
Central,Kandy,Yatinuwara,Pilapitiya,Central,Kandy 1
Central,Kandy,Yatinuwara,Kendakaduwa,Central,Kandy 2
Central,Kandy,Doluwa,Inguruwatta,Central,Kandy 2
Central,Kandy,Doluwa,Naranvita,Central,Kandy 1
Central,Kandy,Doluwa,Wewathenna,Central,Kandy 1
Central,Kandy,Doluwa,Orayanwatta,Central,Kandy 1
Central,Kandy,Doluwa,Millagahamula,Central,Kandy 2
Central,Kandy,Kundasale,Pallegama,Central,Kandy 1
Central,Kandy,Kundasale,Heepitiya,Central,Kandy 1
Central,Kandy,Kundasale,Degaldoruwa,Central,Kandy 2
Central,Kandy,Kundasale,Karattamada,Central,Kandy 1
Central,Kandy,Kundasale,Naranpanawa West,Central,Kandy 1
Central,Kandy,Kundasale,Maharathenna West,Central,Kandy 2
Central,Kandy,Kundasale,Wijaya Sri Gama,Central,Kandy 2
Central,Kandy,Kundasale,Naranpanawa East,Central,Kandy 1
Central,Kandy,Kundasale,Kuruambemuduna,Central,Kandy 2
Central,Kandy,Gangawata Korale,Ketawala,Central,Kandy 2
Central,Kandy,Gangawata Korale,Ulpathakumbura,Central,Kandy 2
Central,Kandy,Gangawata Korale,Lewla,Central,Kandy 1
Central,Kandy,Gangawata Korale,Gurudeniya West,Central,Kandy 1
Central,Kandy,Gangawata Korale,Gurudeniya East,Central,Kandy 1
Central,Kandy,Gangawata Korale,Maligathenna,Central,Kandy 3
Central,Kandy,Poojapitiya,Pathirada,Central,Kandy 1
Central,Kandy,Thumpane,Damunugasthenna,Central,Kandy 1
Central,Kandy,Thumpane,Akkarawatta,Central,Kandy 2
Central,Kandy,Thumpane,Rokhill,Central,Kandy 2
Central,Kandy,Thumpane,Ambagahahena,Central,Kandy 1
Central,Kandy,Thumpane,Kobbegala,Central,Kandy 1
Central,Kandy,Thumpane,Galabawa,Central,Kandy 2
Central,Kandy,Thumpane,Kannadeniya,Central,Kandy 1
Central,Kandy,Doluwa,Megoda Kalugamuwa,Central,Kandy 3
Central,Kandy,Doluwa,Nillamba,Central,Kandy 1
Central,Kandy,Doluwa,Masgolla,Central,Kandy 2
Central,Kandy,Doluwa,Ududeniya,Central,Kandy 1
Central,Kandy,Doluwa,Mulgama,Central,Kandy 1
Central,Kandy,Kundasale,Kandekumbura,Central,Kandy 3
Central,Kandy,Kundasale,Udagama North,Central,Kandy 1
Central,Kandy,Kundasale,Ihala Gonagama,Central,Kandy 1
Central,Kandy,Kundasale,Delgaslanda,Central,Kandy 2
Central,Kandy,Kundasale,Udagama South,Central,Kandy 1
Central,Kandy,Kundasale,Maharathenna East,Central,Kandy 1
Central,Kandy,Kundasale,Bigaskumbura,Central,Kandy 2
Central,Kandy,Gangawata Korale,Watapuluwa West,Central,Kandy 3
Central,Kandy,Gangawata Korale,Ampitiya Pallegama,Central,Kandy 1
Central,Kandy,Gangawata Korale,Ampitiya North,Central,Kandy 1
Central,Kandy,Gangawata Korale,Mahakanda,Central,Kandy 2
Central,Kandy,Gangawata Korale,Hindagala,Central,Kandy 2
Central,Kandy,Hatharaliyadda,Paragoda,Central,Kandy 2
Central,Kandy,Hatharaliyadda,Alakolamaditta,Central,Kandy 3
Central,Kandy,Hatharaliyadda,Nikathenna,Central,Kandy 3
Central,Kandy,Hatharaliyadda,Narangaspitiya,Central,Kandy 2
Central,Kandy,Hatharaliyadda,Godathale,Central,Kandy 2
Central,Kandy,Doluwa,Gurukele,Central,Kandy 3
Central,Kandy,Doluwa,Pabadeniya,Central,Kandy 1
Central,Kandy,Doluwa,Rajathalawa,Central,Kandy 1
Central,Kandy,Doluwa,Panvilathenna,Central,Kandy 1
Central,Kandy,Doluwa,Thumpelawaka,Central,Kandy 2
Central,Kandy,Doluwa,Ganegoda,Central,Kandy 2
Central,Kandy,Doluwa,Godawela,Central,Kandy 2
Central,Kandy,Kundasale,Udagunnepana North,Central,Kandy 1
Central,Kandy,Kundasale,Gabadagama,Central,Kandy 3
Central,Kandy,Kundasale,Gabadagama North,Central,Kandy 3
Central,Kandy,Kundasale,Pallegunnepana South,Central,Kandy 1
Central,Kandy,Kundasale,Amunugama North,Central,Kandy 1
Central,Kandy,Kundasale,Deekirimadawala,Central,Kandy 3
Central,Kandy,Kundasale,Pilawala North,Central,Kandy 1
Central,Kandy,Kundasale,Mahawatta East,Central,Kandy 1
Central,Kandy,Kundasale,Sirimalwatte West,Central,Kandy 3
Central,Kandy,Kundasale,Lewellagama,Central,Kandy 1
Central,Kandy,Gangawata Korale,Malwatta,Central,Kandy 3
Central,Kandy,Gangawata Korale,Meddegama,Central,Kandy 1
Central,Kandy,Gangawata Korale,Gurudeniya Dambawela,Central,Kandy 1
Central,Kandy,Pasbage Korale,Aluthgama,Central,Kandy 1
Central,Kandy,Pasbage Korale,Dekinda,Central,Kandy 1
Central,Kandy,Pasbage Korale,Wewegama,Central,Kandy 1
Central,Kandy,Pasbage Korale,Westhole,Central,Kandy 3
Central,Kandy,Pasbage Korale,Kadiyanlena,Central,Kandy 3
Central,Kandy,Pasbage Korale,Greenwood,Central,Kandy 1
Central,Kandy,Pasbage Korale,Imbulpitiya,Central,Kandy 1
Central,Kandy,Hatharaliyadda,Kalotuwawa,Central,Kandy 1
Central,Kandy,Hatharaliyadda,Ambawa,Central,Kandy 2
Central,Kandy,Hatharaliyadda,Dedunupitiya Ihalagama,Central,Kandy 1
Central,Kandy,Hatharaliyadda,Dedunupitiya Pahalagama,Central,Kandy 1
Central,Kandy,Hatharaliyadda,Dehideniya Madige,Central,Kandy 1
Central,Kandy,Hatharaliyadda,Alagalla Ihala,Central,Kandy 1
Central,Kandy,Hatharaliyadda,Pelena,Central,Kandy 1
Central,Kandy,Doluwa,Doluwa,Central,Kandy 3
Central,Kandy,Doluwa,Lagundeniya,Central,Kandy 1
Central,Kandy,Doluwa,Nawa Gurukele,Central,Kandy 2
Central,Kandy,Doluwa,Gothatuwela,Central,Kandy 2
Central,Kandy,Doluwa,Kahawatta,Central,Kandy 2
Central,Kandy,Doluwa,Thundeniya,Central,Kandy 2
Central,Kandy,Kundasale,Sirimalwatte Pallegama,Central,Kandy 1
Central,Kandy,Kundasale,Pallegunnepana North,Central,Kandy 3
Central,Kandy,Kundasale,Udagunnepana South,Central,Kandy 1
Central,Kandy,Kundasale,Arangala North,Central,Kandy 1
Central,Kandy,Kundasale,Hapuwala,Central,Kandy 2
Central,Kandy,Kundasale,Arangala South,Central,Kandy 1
Central,Kandy,Kundasale,Rajawella North,Central,Kandy 3
Central,Kandy,Kundasale,Kumbukkandura South,Central,Kandy 3
Central,Kandy,Kundasale,Kumbukkandura North,Central,Kandy 1
Central,Kandy,Kundasale,Galamuna,Central,Kandy 1
Central,Kandy,Pasbage Korale,Warakawa,Central,Kandy 2
Central,Kandy,Udapalatha,Mawathura,Central,Kandy 3
Central,Kandy,Udapalatha,Doragala,Central,Kandy 2
Central,Kandy,Udapalatha,Pussellawagama,Central,Kandy 2
Central,Kandy,Udapalatha,Pussellawa,Central,Kandy 2
Central,Kandy,Doluwa,Pupuressa,Central,Kandy 2
Central,Kandy,Delthota,Kolambissa East,Central,Kandy 1
Central,Kandy,Pathahewaheta,Pathamailapitiya North,Central,Kandy 1
Central,Kandy,Akurana,Malgamandeniya,Central,Kandy 1
Central,Kandy,Pathadumbara,Yatawara Kandagama,Central,Kandy 1
Central,Kandy,Pathadumbara,Yatawara,Central,Kandy 2
Central,Kandy,Panwila,Madulkele,Central,Kandy 3
Central,Kandy,Panwila,Hathale,Central,Kandy 2
Central,Kandy,Yatinuwara,Alagalla Watta,Central,Kandy 3
Central,Kandy,Yatinuwara,Ihala Alagalla,Central,Kandy 1
Central,Kandy,Yatinuwara,Godigamuwa,Central,Kandy 1
Central,Kandy,Yatinuwara,Motana Dekinda,Central,Kandy 1
Central,Kandy,Yatinuwara,Balana,Central,Kandy 3
Central,Kandy,Yatinuwara,Moragolla Mahakanda,Central,Kandy 2
Central,Kandy,Yatinuwara,Weralugolla,Central,Kandy 1
Central,Kandy,Yatinuwara,Ihala Mudaliwatta,Central,Kandy 1
Central,Kandy,Yatinuwara,Kadawathgama,Central,Kandy 2
Central,Kandy,Doluwa,Atuwewatta,Central,Kandy 1
Central,Kandy,Doluwa,Gampolawatta,Central,Kandy 1
Central,Kandy,Doluwa,Galoya,Central,Kandy 3
Central,Kandy,Doluwa,Haloya,Central,Kandy 2
Central,Kandy,Doluwa,Nawa Nillamba,Central,Kandy 1
Central,Kandy,Doluwa,Wariyagala,Central,Kandy 2
Central,Kandy,Doluwa,Hunugala,Central,Kandy 1
Central,Kandy,Doluwa,Palledelthota,Central,Kandy 3
Central,Kandy,Doluwa,Pitawala,Central,Kandy 2
Central,Kandy,Kundasale,Balagolla West,Central,Kandy 1
Central,Kandy,Kundasale,Nithulethenna,Central,Kandy 1
Central,Kandy,Kundasale,Diyabubula,Central,Kandy 3
Central,Kandy,Kundasale,Kengalla,Central,Kandy 2
Central,Kandy,Kundasale,Aswalapitiya,Central,Kandy 3
Central,Kandy,Kundasale,Kundasale South,Central,Kandy 1
Central,Kandy,Kundasale,Balagolla East,Central,Kandy 2
Central,Kandy,Kundasale,Ambakotewatta,Central,Kandy 2
Central,Kandy,Panwila,Angammana,Central,Kandy 1
Central,Kandy,Panwila,Kelebokka,Central,Kandy 3
Central,Kandy,Panwila,Watakele,Central,Kandy 1
Central,Kandy,Panwila,Kosgama,Central,Kandy 1
Central,Kandy,Panwila,Thawalanthenna,Central,Kandy 1
Central,Kandy,Udadumbara,Kaikawala,Central,Kandy 2
Central,Kandy,Udadumbara,Pusseela,Central,Kandy 3
Central,Kandy,Udadumbara,Meemure,Central,Kandy 1
Central,Kandy,Ganga Ihala Korale,Gampolawela,Central,Kandy 2
Central,Kandy,Ganga Ihala Korale,Maligapurana,Central,Kandy 1
Central,Kandy,Harispattuwa,Yatiwawala,Central,Kandy 3
Central,Kandy,Harispattuwa,Katugasthota,Central,Kandy 3
Central,Kandy,Pathadumbara,Galewatta,Central,Kandy 1
Central,Kandy,Harispattuwa,Yatihalagala Pallegama,Central,Kandy 1
Central,Kandy,Udunuwara,Belungala,Central,Kandy 3
Central,Kandy,Udunuwara,Lagamuwa,Central,Kandy 3
Central,Kandy,Udunuwara,Aluthkanda,Central,Kandy 1
Central,Kandy,Udunuwara,Sadikkawatta,Central,Kandy 1
Central,Kandy,Udunuwara,Kovilakanda,Central,Kandy 1
Central,Kandy,Udunuwara,Elpitikanda,Central,Kandy 1
Central,Kandy,Udunuwara,Maveekumbura South,Central,Kandy 1
Central,Kandy,Pathahewaheta,Kahambiliyawa,Central,Kandy 1
Central,Kandy,Pathahewaheta,Unuvinna West,Central,Kandy 1
Central,Kandy,Pathahewaheta,Pothgoda,Central,Kandy 1
Central,Kandy,Pathahewaheta,Kethigannawela,Central,Kandy 1
Central,Kandy,Pathahewaheta,Ududeniya,Central,Kandy 1
Central,Kandy,Pathahewaheta,Oluwawatta,Central,Kandy 2
Central,Kandy,Kundasale,Rajawella South,Central,Kandy 3
Central,Kandy,Kundasale,Ihalawela,Central,Kandy 3
Central,Kandy,Kundasale,Ahaspokuna South,Central,Kandy 3
Central,Kandy,Kundasale,Malpana,Central,Kandy 1
Central,Kandy,Kundasale,Ahaspokuna North,Central,Kandy 3
Central,Kandy,Kundasale,Maluwegama,Central,Kandy 1
Central,Kandy,Kundasale,Wepathana,Central,Kandy 3
Central,Kandy,Kundasale,Gonawala South,Central,Kandy 1
Central,Kandy,Harispattuwa,Waratenna,Central,Kandy 1
Central,Kandy,Gangawata Korale,Senkadagala,Central,Kandy 2
Central,Kandy,Harispattuwa,Rathmale,Central,Kandy 3
Central,Kandy,Hatharaliyadda,Walpalagolla North,Central,Kandy 1
Central,Kandy,Medadumbara,Gabbela,Central,Kandy 1
Central,Kandy,Medadumbara,Amupitiya,Central,Kandy 2
Central,Kandy,Medadumbara,Pallebage,Central,Kandy 1
Central,Kandy,Minipe,Mahayaya South,Central,Kandy 1
Central,Kandy,Minipe,Mahagalaheenna,Central,Kandy 3
Central,Kandy,Udapalatha,Rathmalkaduwa,Central,Kandy 2
Central,Kandy,Ganga Ihala Korale,Karagala,Central,Kandy 2
Central,Kandy,Ganga Ihala Korale,Watakedeniya,Central,Kandy 2
Central,Kandy,Ganga Ihala Korale,Uduwella,Central,Kandy 2
Central,Kandy,Ganga Ihala Korale,Patithalawa,Central,Kandy 2
Central,Kandy,Pasbage Korale,Uda Rambukpitiya,Central,Kandy 1
Central,Kandy,Udapalatha,Kekulanda,Central,Kandy 3
Central,Kandy,Thumpane,Meegahahena South,Central,Kandy 2
Western,Kalutara,Panadura,Kaludewala East,Western,Kalutara 3
Western,Kalutara,Panadura,Oluvila,Western,Kalutara 3
Western,Kalutara,Panadura,Kaludewala,Western,Kalutara 1
Central,Kandy,Pathahewaheta,Hewavissa West,Central,Kandy 1
Central,Kandy,Pathahewaheta,Hewavissa East,Central,Kandy 2
Central,Kandy,Pathahewaheta,Meeruppa,Central,Kandy 1
Central,Kandy,Pathahewaheta,Kiriwanagoda,Central,Kandy 1
Central,Kandy,Pathahewaheta,Medagama Udagama,Central,Kandy 3
Central,Kandy,Pathahewaheta,Udawelawatta Janapadaya,Central,Kandy 3
Central,Kandy,Pathahewaheta,Wathuliyadda,Central,Kandy 1
Central,Kandy,Kundasale,Gonawala North,Central,Kandy 3
Central,Kandy,Kundasale,Dodamgolla,Central,Kandy 1
Central,Kandy,Kundasale,Dambarawa,Central,Kandy 2
Central,Kandy,Kundasale,Manikhinna,Central,Kandy 2
Central,Kandy,Kundasale,Hurikaduwa West,Central,Kandy 2
Central,Kandy,Kundasale,Galapitaambe,Central,Kandy 1
Central,Kandy,Kundasale,Pilawala South,Central,Kandy 3
Central,Kandy,Kundasale,Mahawatta South,Central,Kandy 3
Central,Kandy,Minipe,08 Ela,Central,Kandy 1
Central,Kandy,Pasbage Korale,Dandubediruppa,Central,Kandy 3
Central,Kandy,Pasbage Korale,Phala Rambukpitiya,Central,Kandy 1
Central,Kandy,Pasbage Korale,Nawalapitiya South,Central,Kandy 1
Central,Kandy,Pasbage Korale,Nawalapitiya East,Central,Kandy 3
Central,Kandy,Pasbage Korale,Nawalapitiya North,Central,Kandy 1
Central,Kandy,Pasbage Korale,Nawalapitiya West,Central,Kandy 3
Central,Kandy,Panwila,Pitawala,Central,Kandy 1
Western,Kalutara,Beruwala,Malewangoda,Western,Kalutara 2
Western,Kalutara,Beruwala,Adhikarigoda,Western,Kalutara 2
Western,Kalutara,Beruwala,Kotapitiya,Western,Kalutara 1
Western,Kalutara,Beruwala,Danwattagoda,Western,Kalutara 3
Western,Kalutara,Beruwala,Nakandalagoda,Western,Kalutara 1
Western,Kalutara,Beruwala,Padagoda,Western,Kalutara 2
Western,Kalutara,Beruwala,Malewana,Western,Kalutara 3
Western,Kalutara,Beruwala,Pathirajagoda,Western,Kalutara 2
Western,Kalutara,Beruwala,Welipitiya,Western,Kalutara 1
Western,Kalutara,Beruwala,Gammedda,Western,Kalutara 3
Western,Kalutara,Beruwala,Kaluwamodara North,Western,Kalutara 2
Western,Kalutara,Walallawita,Karapagala,Western,Kalutara 1
Western,Kalutara,Walallawita,Gammana East,Western,Kalutara 1
Western,Kalutara,Walallawita,Kuda Mathugama,Western,Kalutara 1
Western,Kalutara,Walallawita,Wedawatta,Western,Kalutara 3
Western,Kalutara,Walallawita,Pelawatta,Western,Kalutara 2
Western,Kalutara,Walallawita,Pelawatta West North,Western,Kalutara 2
Western,Kalutara,Bulathsinhala,Bulathsinhala West,Western,Kalutara 3
Western,Kalutara,Bulathsinhala,Pahala Welgama,Western,Kalutara 3
Western,Kalutara,Bulathsinhala,Damparadugoda,Western,Kalutara 2
Western,Kalutara,Bulathsinhala,Yatagampitiya,Western,Kalutara 3
Western,Kalutara,Bulathsinhala,Karaldekma,Western,Kalutara 2
Western,Kalutara,Bulathsinhala,Bulathsinhala Central,Western,Kalutara 1
Western,Kalutara,Bulathsinhala,Bulathsinhala East,Western,Kalutara 3
Western,Kalutara,Dodangoda,Ukwatta,Western,Kalutara 2
Western,Kalutara,Millaniya,Batagoda,Western,Kalutara 3
Western,Kalutara,Millaniya,Mulkadakanda,Western,Kalutara 2
Western,Kalutara,Millaniya,Mahadurupitiya,Western,Kalutara 2
Western,Kalutara,Millaniya,Haltota,Western,Kalutara 2
Western,Kalutara,Millaniya,Lenawara,Western,Kalutara 1
Western,Kalutara,Millaniya,Thibbotugoda,Western,Kalutara 1
Western,Kalutara,Horana,Henegama,Western,Kalutara 2
Western,Kalutara,Beruwala,Alakadupitiya,Western,Kalutara 2
Western,Kalutara,Beruwala,Galhena,Western,Kalutara 1
Western,Kalutara,Beruwala,Kaluwamodara East,Western,Kalutara 2
Western,Kalutara,Beruwala,Dharaga Town,Western,Kalutara 3
Western,Kalutara,Beruwala,Seenawatta,Western,Kalutara 3
Western,Kalutara,Beruwala,Kadiyawatta,Western,Kalutara 2
Western,Kalutara,Beruwala,Mullapitiya,Western,Kalutara 2
Western,Kalutara,Beruwala,Doowegoda,Western,Kalutara 1
Western,Kalutara,Beruwala,Akkara 80,Western,Kalutara 1
Western,Kalutara,Panadura,Maha Wadduwa,Western,Kalutara 2
Western,Kalutara,Walallawita,Katukele Welmeegoda,Western,Kalutara 2
Western,Kalutara,Walallawita,Maddegama,Western,Kalutara 3
Western,Kalutara,Walallawita,Uthumgama,Western,Kalutara 3
Western,Kalutara,Walallawita,Uragoda West,Western,Kalutara 1
Western,Kalutara,Dodangoda,Thebuwana East,Western,Kalutara 1
Western,Kalutara,Dodangoda,Pahala Nebada,Western,Kalutara 3
